path,level,prefLabel,synonym,definition
symptom/digestive system symptom/feces and droppings symptom/constipation/outlet dysfunction constipation,4,outlet dysfunction constipation,,"A constipation that is characterized by difficulty passing bowel movements after they reach the rectum. One experiences difficulty evacuating the stool and often has to strain or press the fingers into the vagina or in front of or into the rectum to help remove the stool. Outlet dysfunction can be caused by inappropriate or abnormal muscle contraction of the pelvic floor (called pelvic floor dyssynergia or dyssynergic defecation) which can respond to biofeedback. It may also be due to a rectocele or other structural changes in the pelvic floor that will require medical or at times, surgical treatment."
symptom/digestive system symptom/feces and droppings symptom/melena,3,melena,melaena,"A feces and droppings symptom that is characterized by the passage of dark tarry stools containing decomposing blood that is usually an indication of bleeding in the upper part of the alimentary canal and especially the esophagus, stomach, and duodenum."
symptom/digestive system symptom/feces and droppings symptom/bloody stool,3,bloody stool,blood in stool,
symptom/digestive system symptom/feces and droppings symptom/diarrhea,3,diarrhea,incontinence of feces|bacterial gastroenteritis|fecal incontinence|loose bowel|loose bowels|diarrhoea|the runs,"Diarrhea is a feces and droppng symptom involving the abnormally frequent intestinal evacuations with more or less fluid stools.|doid/symp duplicate - reviewed 10/2022, both DO & SYMP"
symptom/digestive system symptom/feces and droppings symptom/diarrhea/severe diarrhea,4,severe diarrhea,,
symptom/digestive system symptom/feces and droppings symptom/diarrhea/bloody diarrhea,4,bloody diarrhea,,
symptom/digestive system symptom/feces and droppings symptom/diarrhea/hemorrhagic diarrhea,4,hemorrhagic diarrhea,,
symptom/digestive system symptom/feces and droppings symptom/diarrhea/acute diarrhea,4,acute diarrhea,,Acute diarrhea is a diarrhea with either or both a rapid onset or a short course.|doid/symp duplicate
symptom/digestive system symptom/feces and droppings symptom/diarrhea/yellowish green diarrhea,4,yellowish green diarrhea,,
symptom/digestive system symptom/feces and droppings symptom/steatorrhea,3,steatorrhea,,doid/symp duplicate
symptom/digestive system symptom/feces and droppings symptom/yellow dropping,3,yellow dropping,,
symptom/digestive system symptom/feces and droppings symptom/abnormal feces,3,abnormal feces,,
symptom/digestive system symptom/feces and droppings symptom/acholic stool,3,acholic stool,clay-colored bowel movement,
symptom/digestive system symptom/feces and droppings symptom/hematochezia,3,hematochezia,,"hematochezia is a feces and droppings symptom characterized by the passage of fresh blood per anus, usually in or with stools."
symptom/digestive system symptom/intestinal hemorrhage,2,intestinal hemorrhage,,
